lstm,batch_size=8,use_mask=False
accuracy = 0.8623999953269958
epoch1,batch100,loss = 0.5766372680664062
epoch1,batch200,loss = 0.8354415893554688
epoch1,batch300,loss = 0.6394091248512268
epoch1,batch400,loss = 0.5780033469200134
epoch1,batch500,loss = 0.47836387157440186
epoch1,batch600,loss = 0.7142212390899658
epoch1,batch700,loss = 0.3754172623157501
epoch1,batch800,loss = 0.5380488038063049
epoch1,batch900,loss = 0.43443238735198975
epoch1,batch1000,loss = 0.5700318813323975
epoch1,batch1100,loss = 0.42622900009155273
epoch1,batch1200,loss = 0.3421218991279602
epoch1,batch1300,loss = 0.4352891147136688
epoch1,batch1400,loss = 0.5130296349525452
epoch1,batch1500,loss = 0.3275323510169983
epoch1,batch1600,loss = 0.28530845046043396
epoch1,batch1700,loss = 0.5026022791862488
epoch1,batch1800,loss = 0.5212414264678955
epoch1,batch1900,loss = 0.6791797280311584
epoch1,batch2000,loss = 0.3668585419654846
epoch1,batch2100,loss = 0.5279189348220825
epoch1,batch2200,loss = 0.6243483424186707
epoch1,batch2300,loss = 0.22299671173095703
epoch1,batch2400,loss = 0.05541660264134407
epoch1,batch2500,loss = 1.1873993873596191
epoch1,batch2600,loss = 0.4989016056060791
epoch1,batch2700,loss = 0.6155295968055725
epoch1,batch2800,loss = 0.33821365237236023
epoch1,batch2900,loss = 0.7573752403259277
epoch1,batch3000,loss = 0.6133537292480469
epoch1,batch3100,loss = 0.41902977228164673
epoch1,batch3200,loss = 0.6411890983581543
epoch1,batch3300,loss = 0.5500398278236389
epoch1,batch3400,loss = 0.29939377307891846
epoch1,batch3500,loss = 0.6128830909729004
epoch1,batch3600,loss = 0.19484876096248627
epoch1,batch3700,loss = 0.2659905254840851
epoch1,batch3800,loss = 0.0889185220003128
epoch1,batch3900,loss = 0.41423743963241577
epoch1,batch4000,loss = 0.4394608438014984
epoch1,batch4100,loss = 0.24691438674926758
epoch1,batch4200,loss = 0.38860297203063965
epoch1,batch4300,loss = 0.16127102077007294
epoch1,batch4400,loss = 0.34615278244018555
epoch1,batch4500,loss = 0.11076466739177704
epoch1,batch4600,loss = 0.23105429112911224
epoch1,batch4700,loss = 0.2697504758834839
epoch1,batch4800,loss = 0.9618188738822937
epoch1,batch4900,loss = 0.33637434244155884
epoch1,batch5000,loss = 0.17037716507911682
