双层LSTM,batch_size = 8,训练20轮，准确率没有明显提高，观察到训练集损失已经十分接近0，甚至出现了0，
可以认为该模型对训练集的拟合已经足够好，但是并没能继续泛化到测试集上，可以认为出现过拟合（overfit），
目前的训练集和测试集的比例是4:1,下一步要寻找更多语料，扩充训练集。
accuracy = 0.8797000050544739
epoch1,batch100,loss = 0.7094073295593262
epoch1,batch200,loss = 0.6701448559761047
epoch1,batch300,loss = 0.6637387275695801
epoch1,batch400,loss = 0.8453492522239685
epoch1,batch500,loss = 0.6622632741928101
epoch1,batch600,loss = 0.6689100861549377
epoch1,batch700,loss = 0.6319703459739685
epoch1,batch800,loss = 0.5455052256584167
epoch1,batch900,loss = 0.4769006073474884
epoch1,batch1000,loss = 0.5639969110488892
epoch1,batch1100,loss = 0.9027642011642456
epoch1,batch1200,loss = 0.7081499099731445
epoch1,batch1300,loss = 0.7898339033126831
epoch1,batch1400,loss = 0.6294320821762085
epoch1,batch1500,loss = 0.3195929527282715
epoch1,batch1600,loss = 0.5710880756378174
epoch1,batch1700,loss = 0.27445143461227417
epoch1,batch1800,loss = 0.5702936053276062
epoch1,batch1900,loss = 0.5514401197433472
epoch1,batch2000,loss = 0.48177024722099304
epoch1,batch2100,loss = 0.6273176670074463
epoch1,batch2200,loss = 0.584792971611023
epoch1,batch2300,loss = 0.19517162442207336
epoch1,batch2400,loss = 0.49909594655036926
epoch1,batch2500,loss = 0.23990970849990845
epoch1,batch2600,loss = 0.43329790234565735
epoch1,batch2700,loss = 0.6725156903266907
epoch1,batch2800,loss = 0.058785632252693176
epoch1,batch2900,loss = 0.4715711772441864
epoch1,batch3000,loss = 0.170518696308136
epoch1,batch3100,loss = 0.6280854940414429
epoch1,batch3200,loss = 0.2587623596191406
epoch1,batch3300,loss = 0.8730513453483582
epoch1,batch3400,loss = 0.22507059574127197
epoch1,batch3500,loss = 0.34661608934402466
epoch1,batch3600,loss = 0.37938588857650757
epoch1,batch3700,loss = 0.5638000965118408
epoch1,batch3800,loss = 0.3016236126422882
epoch1,batch3900,loss = 0.49660059809684753
epoch1,batch4000,loss = 0.5852034687995911
epoch1,batch4100,loss = 0.12130752950906754
epoch1,batch4200,loss = 0.3379385769367218
epoch1,batch4300,loss = 0.2947562336921692
epoch1,batch4400,loss = 0.21952560544013977
epoch1,batch4500,loss = 0.3022816777229309
epoch1,batch4600,loss = 1.2469109296798706
epoch1,batch4700,loss = 0.18206267058849335
epoch1,batch4800,loss = 0.498502254486084
epoch1,batch4900,loss = 0.23727992177009583
epoch1,batch5000,loss = 0.6254255175590515
epoch2,batch100,loss = 0.38411521911621094
epoch2,batch200,loss = 0.1739485114812851
epoch2,batch300,loss = 0.08751316368579865
epoch2,batch400,loss = 0.2776832580566406
epoch2,batch500,loss = 0.12458448112010956
epoch2,batch600,loss = 0.09050337970256805
epoch2,batch700,loss = 0.3996431231498718
epoch2,batch800,loss = 0.40749263763427734
epoch2,batch900,loss = 1.051790714263916
epoch2,batch1000,loss = 0.1911628246307373
epoch2,batch1100,loss = 0.21804431080818176
epoch2,batch1200,loss = 0.2631242573261261
epoch2,batch1300,loss = 0.15242338180541992
epoch2,batch1400,loss = 0.5488029718399048
epoch2,batch1500,loss = 0.6801673173904419
epoch2,batch1600,loss = 0.09174205362796783
epoch2,batch1700,loss = 0.2489335536956787
epoch2,batch1800,loss = 0.4712640345096588
epoch2,batch1900,loss = 0.03800071403384209
epoch2,batch2000,loss = 0.5328308343887329
epoch2,batch2100,loss = 0.26441100239753723
epoch2,batch2200,loss = 0.6015665531158447
epoch2,batch2300,loss = 0.40323901176452637
epoch2,batch2400,loss = 0.1690738946199417
epoch2,batch2500,loss = 0.22888816893100739
epoch2,batch2600,loss = 0.6911236047744751
epoch2,batch2700,loss = 0.24620045721530914
epoch2,batch2800,loss = 0.14229127764701843
epoch2,batch2900,loss = 0.19816073775291443
epoch2,batch3000,loss = 0.25236988067626953
epoch2,batch3100,loss = 0.204560786485672
epoch2,batch3200,loss = 0.14948560297489166
epoch2,batch3300,loss = 0.7385897040367126
epoch2,batch3400,loss = 0.7643213868141174
epoch2,batch3500,loss = 0.6659653782844543
epoch2,batch3600,loss = 0.45797106623649597
epoch2,batch3700,loss = 0.3040355145931244
epoch2,batch3800,loss = 0.26377472281455994
